Nom Prenom/types de distinctions/description 
Joel_Des_Rosiers/distinctions littéraires/2000     16e Grand Prix du Festival International de la Poésie, Trois-Rivières, pour Vétiver.
Joel_Des_Rosiers/distinctions littéraires/2010     Invité d’honneur, Salon du livre de Montréal.
Joel_Des_Rosiers/distinctions littéraires/2011     Prix Athanase-David, pour l’ensemble de son oeuvre.
Joel_Des_Rosiers/distinctions littéraires/2014     Modern Language Association Prize for Independent Scholars, pour Métaspora.
Joel_Des_Rosiers/distinctions littéraires/2016     Prix de la poésie Fetkann-Maryse Condé, pour Chaux.
Joel_Des_Rosiers/distinctions littéraires/2017     Élu membre de l’Académie des lettres du Québec.
Josaphat_Robert_Large/distinctions littéraires/2002     Finaliste, Prix du livre insulaire d’Ouessant (fiction), août 2002.
Josaphat_Robert_Large/distinctions littéraires/2003     Prix Littéraire des Caraïbes de l’ADELF (ex aequo), pour Les terres entourées de larmes.
Josaphat_Robert_Large/distinctions littéraires/2004     Sélectionné comme candidat pour The Haiti Bicentennial Prize (Miami).
Kettly_Mars/prix et distinctions littéraires/1996     Prix Jacques-Stephen Alexis de la nouvelle, pour « Soleils Contraires ».
Kettly_Mars/prix et distinctions littéraires/2006     Prix Senghor de la Création littéraire, pour L’Heure hybride.
Kettly_Mars/prix et distinctions littéraires/2011     Bourse Barbancourt.
Kettly_Mars/prix et distinctions littéraires/2011     Prix Prince Claus, pour cette « écrivaine émouvante et énergique, avec sa vision incisive de la réalité et son portrait fascinant de la société haïtienne ».
Kettly_Mars/prix et distinctions littéraires/2015     Prix Ivoire pour la littérature Africaine d’expression francophone, pour Je suis vivant.
Leon_Laleau/prix et distinctions/1935     L’ordre mexicain de l’aigle Aztec decerné à Laleau, Ministre des Affaires Étrangères d’Haïti
Leon_Laleau/prix et distinctions/1962     Prix Edgar Poe de la maison de poésie et société des gens de lettres à Paris.
Leon_Laleau/prix et distinctions/1968     Rose d’Or des poètes de la société des poètes français.
Leon_Laleau/prix et distinctions/1978     Prix Henri Deschamps, pour Oeuvre poétique.
Leon_Laleau/prix et distinctions/Membre de l’Académie Ronsard.
Leon_Laleau/prix et distinctions/Membre de l’Académie méditerranéenne.
Leon_Laleau/prix et distinctions/Membre de l’Académie diplomatique internationale.
Leon_Laleau/prix et distinctions/Grand-Croix de Saint-Grégoire-le-Grand du Vatican.
Leon_Laleau/prix et distinctions/Officier de l’Instruction publique et Grand Officier de la Légion d’Honneur de France.
Leon_Laleau/prix et distinctions/Grand Officier Honneur et Mérite et Commandeur de l’Éducation nationale d’Haïti.
Louis_Philippe_Dalembert/prix et distinctions littéraires/1987     Grand prix de poésie de la Ville d’Angers pour le recueil Et le soleil se souvient (sur manuscrit).
