;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;;;;;;wiki_url;len
Q16946574;;;https://ht.wikipedia.org/wiki/Jean_Florival;#N/A;#N/A;789;;;;;;https://en.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon-Hall;2384
Q96952677;;https://fr.wikipedia.org/wiki/Haveson_Florvil;;#N/A;10251;#N/A;;;;;;https://fr.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon_Hall;6194
Q12889446;;;https://ht.wikipedia.org/wiki/D%C3%A9ita;#N/A;#N/A;3185;;;;;;https://ht.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon-Hall;1787
Q12890741;;;https://ht.wikipedia.org/wiki/Franck_Fouch%C3%A9;#N/A;#N/A;820;;;;;;https://ht.wikipedia.org/wiki/Jean_Andr%C3%A9_Constant;885
Q162778;https://en.wikipedia.org/wiki/Frank%C3%A9tienne;https://fr.wikipedia.org/wiki/Frank%C3%A9tienne;https://ht.wikipedia.org/wiki/Frank%C3%A9tienne;4446;14012;3218;;;;;;https://ht.wikipedia.org/wiki/Verly_Dabel;2179
Q16946141;;;https://ht.wikipedia.org/wiki/Emilie_Franz;#N/A;#N/A;741;;;;;;https://en.wikipedia.org/wiki/Louis-Philippe_Dalembert;7814
Q12890976;;;https://ht.wikipedia.org/wiki/Genevi%C3%A8ve_Gaillard-Vant%C3%A9;#N/A;#N/A;890;;;;;;https://fr.wikipedia.org/wiki/Louis-Philippe_Dalembert;10839
Q782156;https://en.wikipedia.org/wiki/Jean-Claude_Garoute;https://fr.wikipedia.org/wiki/Jean-Claude_Garoute;https://ht.wikipedia.org/wiki/Jean-Claude_Garoute_(Tiga);4029;16933;1282;;;;;;https://ht.wikipedia.org/wiki/Louis-Philippe_Dalembert;7983
Q55725389;;;;#N/A;#N/A;#N/A;;;;;;https://fr.wikipedia.org/wiki/Jean_D%27Am%C3%A9rique;6339
Q12894528;https://en.wikipedia.org/wiki/Mona_Gu%C3%A9rin;;https://ht.wikipedia.org/wiki/Mona_Gu%C3%A9rin;2977;#N/A;2810;;;;;;https://en.wikipedia.org/wiki/Edwidge_Danticat;31591
Q20559271;;;https://ht.wikipedia.org/wiki/Maude_Heurtelou;#N/A;#N/A;8981;;;;;;https://fr.wikipedia.org/wiki/Edwidge_Danticat;6676
Q3828146;;https://fr.wikipedia.org/wiki/Lawrence_Hill_(basket-ball);;#N/A;3222;#N/A;;;;;;https://ht.wikipedia.org/wiki/Edwidge_Danticat;1157
Q16946779;https://en.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;;https://ht.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;4622;#N/A;1788;;;;;;https://en.wikipedia.org/wiki/Villard_Denis;1898
Q16946660;;;https://ht.wikipedia.org/wiki/Joanne_Hyppolite;#N/A;#N/A;755;;;;;;https://ht.wikipedia.org/wiki/Davertige;823
Q3147761;https://en.wikipedia.org/wiki/Ida_Faubert;https://fr.wikipedia.org/wiki/Ida_Faubert;https://ht.wikipedia.org/wiki/Ida_Faubert;9994;3912;3223;;;;;;https://en.wikipedia.org/wiki/Ren%C3%A9_Depestre;15223
Q96198910;;https://fr.wikipedia.org/wiki/Jean_Emmanuel_Jacquet;;#N/A;5144;#N/A;;;;;;https://fr.wikipedia.org/wiki/Ren%C3%A9_Depestre;18853
Q3571564;;https://fr.wikipedia.org/wiki/Yanick_Jean;;#N/A;5964;#N/A;;;;;;https://ht.wikipedia.org/wiki/Ren%C3%A9_Depestre;3657
Q3045911;https://en.wikipedia.org/wiki/Jean_Price-Mars;https://fr.wikipedia.org/wiki/Jean_Price_Mars;https://ht.wikipedia.org/wiki/Jean_Price-Mars;7853;9407;3000;;;;;;https://ht.wikipedia.org/wiki/Sophia_D%C3%A9sir;3665
Q55217152;;;;#N/A;#N/A;#N/A;;;;;;https://en.wikipedia.org/wiki/Lilas_Desquiron;1665
Q12898302;;;https://ht.wikipedia.org/wiki/Wiener_Kerns_Fleurimond;#N/A;#N/A;5658;;;;;;https://ht.wikipedia.org/wiki/Lilas_Desquiron;804
