orig;type_;langue;collectif;
articles, chroniques, essais;articles/essais;;FAUX;
articles choisis;articles/essais;;FAUX;
résidences;distinctions;;FAUX;
sur paulette poujol oriol;autour de l'�uvre / de l'auteur;;FAUX;
textes de joël des rosiers en ligne sur île en île;texte en lignes;;FAUX;
sur l’oeuvre d’émeric bergeaud;autour de l'�uvre / de l'auteur;;FAUX;
récits;;;FAUX;
dans les anthologies;;;FAUX;
magloire-saint-aude;;;FAUX;
direction d’ouvrage;direction ouvrage/revues;;FAUX;
articles parus dans le nouvelliste;textes en ligne;;FAUX;
poèmes et textes publiés dans des anthologies;poesie;;FAUX;
politique et sociologie;politique;;FAUX;sociologie
texte mis en musique;chanson/musique;;FAUX;
volume i (1974);;;FAUX;
ouvrages didactiques;;;FAUX;
textes de robert berrouët-oriol sur île en île;textes en ligne;;FAUX;
sur georges anglade;autour de l'�uvre / de l'auteur;;FAUX;
théâtre;theatre;;FAUX;
sur jean-marie bourjolly;autour de l'�uvre / de l'auteur;;FAUX;
en français;;fran�ais;FAUX;
franz benjamin sur île en île;texte en lignes;;FAUX;
études sur frankétienne;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de gary victor;autour de l'�uvre / de l'auteur;;FAUX;
études sur émile ollivier;autour de l'�uvre / de l'auteur;;FAUX;
romans et nouvelles pour la jeunesse;romans;;FAUX;
pamphlets;essais/articles;;FAUX;
